State,City,Borough/Area,Neighborhood,DP05_0001E,DP05_0002E,DP05_0003E,DP05_0005E,DP05_0006E,DP05_0007E,DP05_0008E,DP05_0009E,DP05_0010E,DP05_0011E,DP05_0012E,DP05_0013E,DP05_0014E,DP05_0015E,DP05_0016E,DP05_0017E,DP05_0018E,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0044E,DP05_0045E,DP05_0046E,DP05_0052E,DP03_0002E,DP03_0019E,DP03_0020E,DP03_0021E,DP03_0022E,DP03_0024E,DP03_0096E,DP03_0025E,B09019_003E,B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,S1501_C01_009E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S2503_C01_013E,S2503_C01_024E,S2701_C01_031E,S2701_C01_032E,S2701_C01_033E,S2701_C01_034E,S2701_C01_035E
New York,New York City,Brooklyn,Central Brooklyn ,71336.4,32181.2,39155.2,4797.2,3959.0,3761.0,3035.4,4587.8,15491.4,10304.4,8374.6,4305.4,3818.2,5366.4,2503.4,1032.2,35.14,17126.0,41058.8,216.0,1942.0,495.2,671.6,28.2,37516.0,4401.4,786.2,19258.6,1923.4,4987.4,66523.4,43.46,28738.2,30932.8,72.4,1916.6,1599.2,972.4,1466.4,1420.8,1882.6,2343.4,2361.2,16897.8,12989.8,3228.4,11953.0,8114.2,73258.8,1827.2,51912.8,19052.8,11738.6,7314.2,8572.6
New York,New York City,Brooklyn,East New York and New Lots ,102490.5,47639.5,54851.0,7326.0,6697.5,7303.0,6636.0,7058.5,16613.0,13856.5,11862.0,6184.5,5992.5,7708.0,3565.5,1687.5,34.599999999999994,15422.5,55918.5,118.5,5090.0,1993.5,850.5,128.5,46373.5,10642.0,1682.5,22844.0,1819.5,3099.0,96164.0,45.3,34576.0,37503.0,50.5,1737.5,2210.5,2910.5,1994.5,2838.5,3565.0,4137.5,2729.5,15329.0,28866.5,4935.0,8305.0,3308.5,54433.5,1601.5,66114.5,35977.0,23488.0,12489.0,11028.5
New York,New York City,Brooklyn,Flatbush,75365.25,35333.75,40031.5,4032.75,3849.0,4124.0,4081.0,4617.0,13849.5,10304.25,9195.75,4741.5,4508.5,7202.25,3383.25,1476.5,38.05,14035.0,48925.75,451.0,2558.25,607.25,620.75,5.5,40249.25,6738.5,1080.5,21585.0,1879.25,4014.0,69788.0,45.45,28598.5,31082.75,135.5,1151.75,661.5,455.5,482.75,965.5,2423.0,3365.0,3256.5,18185.75,15246.5,3912.25,12342.5,7079.5,77393.25,1733.25,43146.25,31752.0,21416.75,10335.25,6811.25
New York,New York City,Brooklyn,Greenpoint ,52824.0,26360.0,26464.0,3702.0,2433.0,2202.0,1802.5,3642.5,15899.0,9525.0,4712.0,2150.0,1933.0,2590.5,1465.0,767.5,33.05,36387.5,2760.5,283.0,3027.0,595.5,1328.5,0.0,33382.5,2706.5,635.5,14963.5,3412.5,6664.0,49348.5,34.55,22965.0,24712.0,177.5,3335.0,2347.0,792.0,510.0,861.5,1240.5,1689.0,1126.5,12633.0,6053.0,1702.0,14966.5,7520.5,110537.0,2374.0,40417.5,12365.5,6724.5,5641.0,4207.5
New York,New York City,Brooklyn,Northwest Brooklyn ,54792.4,26000.8,28791.6,4454.8,3300.0,2897.0,2536.2,2587.4,11253.8,10343.0,6682.4,2641.0,2122.8,3445.4,1870.2,658.4,35.1,34378.0,7108.6,168.8,5300.8,810.4,2716.4,96.0,32325.4,2258.2,485.0,14167.8,3153.4,7951.0,52804.4,35.38,22792.6,24948.0,83.0,3194.8,1946.8,565.6,492.2,591.4,1154.4,1682.6,1709.6,13527.6,3663.6,1384.0,14112.4,14068.0,139035.8,2648.2,44263.4,10254.6,5357.0,4897.6,4154.2
New York,New York City,Brooklyn,Southern Brooklyn ,73046.0,35017.5,38028.5,4501.75,4297.25,4445.5,3821.5,3689.5,8948.75,8527.75,8541.25,5252.25,4996.0,8836.0,4693.25,2495.25,43.9,43060.75,5478.75,168.0,14562.0,533.5,10310.75,16.75,32556.75,7823.5,1743.5,12480.5,2873.75,3574.5,68084.75,46.075,27938.5,30126.25,65.5,705.5,1121.75,661.5,735.75,1769.5,5540.25,5603.0,3270.0,10653.5,13494.75,3866.0,12377.0,8891.75,58985.5,1435.5,35258.25,37260.0,25953.5,11306.5,9742.5
New York,New York City,Brooklyn,Southwest Brooklyn ,68934.66666666667,33810.666666666664,35124.0,3898.3333333333335,3794.0,3838.0,3708.6666666666665,3750.6666666666665,9508.666666666666,9458.666666666666,9100.333333333334,4666.666666666667,4348.666666666667,7026.333333333333,3966.0,1869.6666666666667,41.46666666666667,37131.666666666664,1647.3333333333333,453.6666666666667,19543.666666666668,709.6666666666666,15750.666666666666,13.666666666666666,34298.666666666664,7344.333333333333,1373.6666666666667,14746.666666666666,2379.0,4318.666666666667,63514.0,44.86666666666667,25673.0,27826.333333333332,1.3333333333333333,338.3333333333333,845.3333333333334,652.6666666666666,891.3333333333334,1141.3333333333333,2494.6666666666665,3101.6666666666665,2747.6666666666665,15612.0,11725.333333333334,3304.0,12242.333333333334,8020.333333333333,77559.33333333333,1735.3333333333333,38442.666666666664,30121.0,18743.0,11378.0,7492.666666666667
New York,New York City,Brooklyn,Sunset Park ,60572.5,30810.0,29762.5,3662.0,4497.0,4448.5,3177.0,3253.0,10128.0,9744.5,7967.5,3353.0,3169.5,4525.5,1987.5,659.5,35.75,16396.0,2159.5,942.5,21128.5,551.5,18727.5,7.0,30860.0,3828.5,1972.0,13594.0,3631.5,2621.5,52758.5,43.099999999999994,18748.0,20372.5,0.0,563.0,669.5,484.0,658.0,1091.0,1342.5,1333.0,1622.5,12609.0,9824.5,2000.5,6841.5,4387.0,71201.5,1733.0,30062.0,29662.5,11960.5,17702.0,5392.5
New York,New York City,Manhattan,Central Harlem,36872.8,17091.4,19781.4,2139.6,1791.2,2038.4,2195.8,2978.8,7017.6,5479.8,4734.2,2227.6,1894.0,2551.4,1233.4,591.0,36.36,7920.4,18174.4,134.8,2145.2,425.6,865.4,9.4,18989.4,1219.2,203.8,9747.2,1860.4,2855.2,34518.8,37.54,15000.2,16659.2,52.8,814.4,1311.0,652.0,618.6,830.4,2015.4,2173.0,1260.2,6931.4,5566.6,1325.4,5972.0,5226.0,56360.4,1426.6,27921.2,8863.4,4377.6,4485.8,4533.4
New York,New York City,Manhattan,Chelsea and Clinton ,26688.5,13876.833333333334,12811.666666666666,654.6666666666666,590.5,573.8333333333334,860.5,1591.1666666666667,7002.5,4107.5,3453.5,1870.3333333333333,1528.0,2556.1666666666665,1402.3333333333333,497.5,38.42,16991.5,1697.1666666666667,107.0,4184.5,788.3333333333334,1836.8333333333333,19.5,17971.666666666668,693.6666666666666,108.33333333333333,6881.833333333333,4189.166666666667,3655.0,25897.5,27.1,15527.666666666666,18820.0,14.833333333333334,2404.0,2518.6666666666665,857.5,1181.6666666666667,1102.3333333333333,2309.8333333333335,831.1666666666666,656.8333333333334,6943.166666666667,1794.6666666666667,835.6666666666666,9102.5,7627.5,123436.6,2611.0,19146.5,7497.666666666667,3923.0,3574.6666666666665,3049.1666666666665
