State,City,Neighborhood,total population,number of males,number of females,number of people under 5,number of people aged 5-9,number of people aged 10-14,number of people aged 15-19,number of people aged 20-24,number of people aged 25-34,number of people aged 35-44,number of people aged 45-54,number of people aged 55-59,number of people aged 60-64,number of people aged 65-74,number of people aged 75-84,number of people aged over 85,median aged,number of white people,number of black people,number of native american people,number of asain people(including indian and chinese),number of indian people,number of chinese people,number of pacific islander,number of employeed people 16 and over,number of commuters who drive to work,number of commuter who carpool to work,number of commuter who took public transport to work,number of commuters who walk to work,number of commuters who work from home,people with health insurance,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,number of people 25 years or older who have high school degree,number of poeple 25 years or older who have an associates degree,number of people 25 years or older who have a bachelors degree,number of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,number of people born in the US,number of people born outside the US,number of naturalized citizens,number of non-citizens,number of people with a disability
Florida,Jacksonville,Lakeshore,67110.0,32028.0,35082.0,4957.0,4888.0,4350.0,3475.0,4338.0,10581.0,8733.0,8405.0,4297.0,4511.0,5281.0,2473.0,821.0,36.0,32062.0,26422.0,72.0,1987.0,28.0,300.0,0.0,35289.0,24136.0,3042.0,667.0,236.0,2839.0,57463.0,25.2,26800.0,29003.0,131.0,1111.0,3369.0,2725.0,4036.0,3903.0,4699.0,5963.0,1849.0,1217.0,15535.0,3895.0,6912.0,3118.0,55910.0,1085.0,61256.0,5486.0,2609.0,2877.0,10040.0
Florida,Jacksonville,Lakewood,27805.5,13788.0,14017.5,1895.5,1562.5,1566.5,996.5,1780.5,4910.5,3417.5,3239.5,1865.5,1743.0,3048.5,1188.0,591.5,37.8,18535.0,4458.5,140.0,1662.5,60.5,188.0,30.0,15093.5,10238.0,1479.5,129.0,175.0,1962.0,23942.5,21.700000000000000,12363.5,14039.5,173.5,577.0,912.5,485.5,1546.0,2391.5,2201.5,3184.0,1326.5,1241.5,4809.0,1546.0,4840.5,2751.5,59429.0,1122.0,23130.5,4355.0,2111.5,2243.5,3388.5
Florida,Jacksonville,Larsen,35392.0,18279.0,17113.0,2484.0,2074.0,1986.0,1337.0,2270.0,5676.0,4728.0,4186.0,2937.0,2270.0,3794.0,1189.0,461.0,38.5,22525.0,6814.0,153.0,2795.0,69.0,343.0,0.0,19187.0,12615.0,2427.0,215.0,249.0,2511.0,30611.0,19.8,15907.0,18592.0,347.0,828.0,1491.0,245.0,1299.0,2733.0,2540.0,4552.0,2544.0,2013.0,6041.0,1844.0,5628.0,3612.0,59883.0,1109.0,28880.0,6247.0,2815.0,3432.0,4563.0
Florida,Jacksonville,Lincoln Villas,14145.0,7650.0,6495.0,583.0,966.0,1636.0,859.0,740.0,1456.0,1672.0,2033.0,1317.0,854.0,1209.0,636.0,184.0,38.7,5437.0,7295.0,0.0,404.0,0.0,0.0,0.0,6276.0,4781.0,405.0,53.0,0.0,331.0,12710.0,26.2,4945.0,5365.0,0.0,939.0,1516.0,688.0,554.0,689.0,770.0,131.0,8.0,70.0,3587.0,1040.0,1160.0,427.0,60100.0,904.0,13252.0,659.0,540.0,119.0,1727.0
Florida,Jacksonville,Longbranch,16210.0,7839.0,8371.0,1274.0,1052.0,1060.0,1044.0,762.0,2410.0,2019.0,1628.0,1424.0,1293.0,1296.0,691.0,257.0,37.2,4170.0,10823.0,49.0,183.0,22.0,41.0,0.0,7625.0,4433.0,916.0,393.0,113.0,688.0,14183.0,22.3,7027.0,9266.0,5.0,246.0,1016.0,319.0,365.0,808.0,509.0,1146.0,950.0,3902.0,3774.0,894.0,1298.0,712.0,35313.0,810.0,15279.0,806.0,429.0,377.0,3635.0
Florida,Jacksonville,Loretto,33937.5,16464.0,17473.5,1897.0,1812.0,1914.0,1644.0,1865.0,4374.5,3728.0,4684.5,2519.0,2409.5,4428.0,1679.0,983.0,45.3,24430.5,2722.0,38.5,1308.0,206.5,90.0,0.0,18036.0,12736.0,1581.5,62.5,145.0,2450.5,29839.0,25.6,13826.5,14533.5,79.5,812.5,1388.0,2841.5,5906.0,2507.5,574.0,196.5,170.0,58.0,5823.0,2740.5,6085.5,3546.0,85738.5,1403.5,28155.0,5182.5,3015.0,2167.5,3788.5
Florida,Jacksonville,Love Grove-Riviera Manor,41010.0,19662.0,21348.0,2470.0,1941.0,2756.0,2079.0,2323.0,7203.0,5645.0,4463.0,2270.0,2949.0,3428.0,2336.0,1147.0,37.9,23687.0,8516.0,13.0,3245.0,1639.0,55.0,87.0,21449.0,14848.0,1963.0,164.0,93.0,2625.0,33810.0,22.0,17684.0,19510.0,80.0,1757.0,4723.0,1296.0,3204.0,2915.0,2209.0,2935.0,337.0,54.0,8789.0,2574.0,6426.0,2945.0,61536.0,1191.0,31326.0,8255.0,3614.0,4641.0,4159.0
Florida,Jacksonville,Magnolia Gardens,25103.5,12239.0,12864.5,1835.0,1800.5,1874.0,1759.0,1412.0,3187.5,3208.0,2591.5,1558.5,1642.0,2500.0,1225.5,510.0,37.6,3913.0,19837.0,28.0,310.0,22.5,0.0,0.0,10171.0,6837.0,673.0,597.5,146.5,380.5,21951.0,26.1,9718.5,11599.5,19.0,657.0,1424.0,836.5,540.0,1258.5,3024.0,2149.5,695.0,996.0,6562.5,1344.5,1434.0,554.0,44317.0,860.5,24132.0,829.0,554.5,274.5,4378.5
Florida,Jacksonville,Mandarin,25604.0,12607.0,12997.0,1183.0,1535.0,1282.0,1309.0,1128.0,2913.0,2430.0,3439.0,2215.0,2044.0,3769.0,1282.0,1075.0,48.5,20421.0,1527.0,62.0,792.0,33.0,46.0,0.0,12815.0,9128.0,949.0,63.0,106.0,1900.0,23390.0,27.0,10348.0,10673.0,60.0,391.0,815.0,2700.0,4542.0,1523.0,387.0,159.0,41.0,55.0,4167.0,2081.0,4773.0,3102.0,90833.0,1467.0,22676.0,2562.0,1961.0,601.0,2618.0
Florida,Jacksonville,Mandarin Station-Losco,42271.0,20321.0,21950.0,2611.0,2089.0,2546.0,1979.0,2602.0,5836.0,5026.0,5930.0,2823.0,2775.0,5087.0,2076.0,891.0,42.1,28440.0,3917.0,15.0,1824.0,380.0,134.0,0.0,23257.0,16344.0,2214.0,62.0,184.0,3001.0,36288.0,24.2,17305.0,18394.0,99.0,1234.0,1961.0,2983.0,7270.0,3492.0,761.0,234.0,299.0,61.0,7479.0,3400.0,7398.0,3990.0,80644.0,1340.0,33634.0,7803.0,4069.0,3734.0,4959.0
Florida,Jacksonville,Marietta,19004.333333333300,9238.666666666670,9765.666666666670,1128.0,1293.3333333333300,1536.0,1140.6666666666700,1136.6666666666700,2271.3333333333300,2553.6666666666700,2430.6666666666700,1483.3333333333300,1192.0,1876.6666666666700,737.6666666666670,224.33333333333300,38.9,9351.333333333330,7278.0,51.0,606.6666666666670,8.333333333333330,23.333333333333300,58.333333333333300,9188.333333333330,6751.0,675.0,140.33333333333300,92.0,734.3333333333330,16542.0,25.96666666666670,6862.333333333330,7549.0,74.0,457.3333333333330,1728.0,1115.0,841.3333333333330,1065.3333333333300,584.3333333333330,758.3333333333330,570.6666666666670,354.6666666666670,4963.0,1235.0,1425.6666666666700,724.6666666666670,62732.666666666700,1060.6666666666700,17450.0,1317.3333333333300,916.3333333333330,401.0,3085.6666666666700
Florida,Jacksonville,McGirts Creek,65499.0,31167.0,34332.0,5352.0,4876.0,4227.0,3168.0,3788.0,13026.0,8561.0,7424.0,4690.0,3197.0,5019.0,1433.0,738.0,33.7,29698.0,23198.0,165.0,4007.0,65.0,140.0,20.0,34312.0,24131.0,3832.0,246.0,413.0,2979.0,55543.0,27.9,24400.0,25827.0,176.0,1605.0,6736.0,5125.0,5455.0,3394.0,1388.0,1516.0,281.0,151.0,15222.0,4819.0,7568.0,2292.0,59848.0,1202.0,56679.0,7578.0,4074.0,3504.0,9881.0
Florida,Jacksonville,Mid-Westside,36062.0,16828.0,19234.0,3087.0,2635.0,2112.0,2659.0,2084.0,4919.0,4744.0,3150.0,1800.0,2430.0,3791.0,1815.0,836.0,36.5,2389.0,32379.0,56.0,216.0,45.0,0.0,0.0,14066.0,8893.0,941.0,1142.0,293.0,430.0,31192.0,26.0,14492.0,17834.0,38.0,375.0,1332.0,985.0,526.0,1828.0,5278.0,4168.0,1382.0,1922.0,9538.0,1649.0,1708.0,681.0,28534.0,817.0,35012.0,999.0,569.0,430.0,7030.0
Florida,Jacksonville,Midtown,20892.5,11080.5,9812.0,1298.5,1128.5,1024.0,775.5,1406.0,3524.5,2998.5,2444.0,1674.5,1329.5,2209.0,760.0,320.0,39.35,12644.5,4940.5,76.5,1472.5,34.5,178.0,0.0,10527.5,6767.0,1275.0,152.5,307.5,1321.5,16853.5,21.05,9055.5,10677.5,173.5,561.0,864.5,143.5,693.5,1670.5,1400.5,2432.0,1405.0,1333.5,3792.0,1089.5,3129.5,1971.0,48962.5,1032.0,16222.5,3242.0,1487.0,1755.0,2786.5
Florida,Jacksonville,Miramar,35392.0,18279.0,17113.0,2484.0,2074.0,1986.0,1337.0,2270.0,5676.0,4728.0,4186.0,2937.0,2270.0,3794.0,1189.0,461.0,38.5,22525.0,6814.0,153.0,2795.0,69.0,343.0,0.0,19187.0,12615.0,2427.0,215.0,249.0,2511.0,30611.0,19.8,15907.0,18592.0,347.0,828.0,1491.0,245.0,1299.0,2733.0,2540.0,4552.0,2544.0,2013.0,6041.0,1844.0,5628.0,3612.0,59883.0,1109.0,28880.0,6247.0,2815.0,3432.0,4563.0
Florida,Jacksonville,Mixon Town,22166.0,10387.5,11778.5,1764.0,1476.5,1102.0,1463.0,1325.0,3612.0,2864.5,1914.0,1225.0,1332.0,2291.5,1168.5,628.0,37.0,3653.0,17328.0,60.5,284.0,41.5,70.0,0.0,9611.5,6024.0,684.5,602.5,264.5,530.5,18902.0,22.65,9425.5,11484.0,86.0,543.5,807.0,576.0,348.0,1174.0,2769.0,2293.0,903.0,1984.5,5397.5,1138.0,1842.5,843.5,45071.5,1015.5,21030.0,841.0,446.5,394.5,3963.5
Florida,Jacksonville,Monclair,20219.0,9297.0,10922.0,1307.0,1051.0,1147.0,656.0,1291.0,4145.0,2107.0,2293.0,794.0,1216.0,2303.0,1187.0,722.0,37.1,14545.0,2103.0,127.0,530.0,52.0,33.0,60.0,11000.0,7861.0,532.0,43.0,101.0,1413.0,17274.0,23.6,8820.0,9487.0,0.0,326.0,334.0,726.0,1793.0,2050.0,1863.0,1816.0,109.0,470.0,3577.0,1248.0,4053.0,1891.0,58975.0,1135.0,17381.0,2463.0,1408.0,1055.0,2214.0
Florida,Jacksonville,Moncrief Park,36062.0,16828.0,19234.0,3087.0,2635.0,2112.0,2659.0,2084.0,4919.0,4744.0,3150.0,1800.0,2430.0,3791.0,1815.0,836.0,36.5,2389.0,32379.0,56.0,216.0,45.0,0.0,0.0,14066.0,8893.0,941.0,1142.0,293.0,430.0,31192.0,26.0,14492.0,17834.0,38.0,375.0,1332.0,985.0,526.0,1828.0,5278.0,4168.0,1382.0,1922.0,9538.0,1649.0,1708.0,681.0,28534.0,817.0,35012.0,999.0,569.0,430.0,7030.0
Florida,Jacksonville,Monterey,26036.5,12648.5,13388.0,2054.0,1924.5,1739.5,1439.5,1528.0,4203.5,3352.5,2823.5,1895.5,1679.5,2014.5,931.5,450.5,35.85,11342.5,10968.0,86.5,731.5,85.0,68.0,0.0,12974.5,8353.0,1507.0,399.0,132.5,1006.5,22093.5,23.6,10280.0,12152.0,106.0,597.0,733.5,515.0,541.5,1644.0,2015.0,3340.0,622.5,2037.5,6148.5,1587.5,2288.0,955.0,44685.5,929.5,23097.0,2658.0,1440.0,1218.0,4937.5
Florida,Jacksonville,Murray Hill,22625.5,10900.0,11725.5,1638.0,1274.0,1342.0,1321.0,1062.0,4157.5,2924.5,3127.5,1522.0,1309.5,1964.5,685.5,297.5,35.7,12309.5,8026.0,51.5,419.0,67.0,33.0,0.0,11814.5,7960.0,814.0,207.0,312.5,1180.0,19117.5,25.85,9878.0,11240.5,47.5,179.0,533.0,254.0,664.0,1241.0,1042.5,2326.5,2142.0,2811.0,4716.0,1401.0,2736.5,1603.0,46526.5,985.5,20909.0,1539.0,782.0,757.0,3643.5
Florida,Jacksonville,New Town,22166.0,10387.5,11778.5,1764.0,1476.5,1102.0,1463.0,1325.0,3612.0,2864.5,1914.0,1225.0,1332.0,2291.5,1168.5,628.0,37.0,3653.0,17328.0,60.5,284.0,41.5,70.0,0.0,9611.5,6024.0,684.5,602.5,264.5,530.5,18902.0,22.65,9425.5,11484.0,86.0,543.5,807.0,576.0,348.0,1174.0,2769.0,2293.0,903.0,1984.5,5397.5,1138.0,1842.5,843.5,45071.5,1015.5,21030.0,841.0,446.5,394.5,3963.5
