State,City,Neighborhood,total population,prop males,prop females,prop of people under 5,prop of people aged 5-9,prop of people aged 10-14,prop of people aged 15-19,prop of people aged 20-24,prop of people aged 25-34,prop of people aged 35-44,prop of people aged 45-54,prop of people aged 55-59,prop of people aged 60-64,prop of people aged 65-74,prop of people aged 75-84,prop of people aged over 85,median aged,prop of white people,prop of black people,prop of native american people,prop of asian people(including indian and chinese),prop of pacific islander,prop of employeed people 16 and over,prop of commuters who drive to work,prop of commuter who carpool to work,prop of commuter who took public transport to work,prop of commuters who walk to work,prop of commuters who work from home,prop with health insurance ,mean commute time to work,num of home owners,number of homes,number of houses built 2020 or more recent,Number of houses built 2010 to 2019,number of houses built 2000 to 2009,number of houses built 1990 to 1999,number of houses built 1980 to 1989,number of houses built 1970 to 1979,number of houses built 1960 to 1969,number of houses built 1950 to 1959,number of houses built 1940 to 1949,number of house built 1939 or before,prop of people 25 years or older who have high school degree,prop of poeple 25 years or older who have an associates degree,prop of people 25 years or older who have a bachelors degree,prop of people 25 years or older who have a grad or professional degree,median household yearly income,median montly housing costs,prop of people born in the US,prop of people born outside the US,prop of naturalized citizens,prop of non-citizens,prop of people with a disability
Tennessee,Nashville,Rayon City,23297.0,0.505043568,0.494956432,0.043868309,0.05249603,0.070051938,0.06597416,0.032064214,0.112632528,0.12559557,0.157101773,0.080868781,0.083701764,0.102888784,0.057045972,0.015710177,44.9,0.871588286,0.111664328,0,0.016747386,0,0.647734295,0.7913412,0.093069636,0.007229516,0.00315772,0.105201928,0.939047946,28.9,9485,9985,76,684,1053,1627,1712,2145,954,597,172,965,0.323153351,0.121426826,0.398078019,0.157341803,87465.0,1330.0,0.914835843,0.042582078,0.025343537,0.017238542,0.152465983
Tennessee,Nashville,Rosebank,24276.5,0.503223282,0.496776718,0.075113793,0.062076494,0.038308652,0.036619776,0.040018125,0.284863963,0.168063765,0.108149857,0.048833234,0.041274484,0.054826684,0.032933083,0.00891809,33.95,0.713695604,0.254870775,0.001192843,0.028893307,0.001347471,0.767261191,0.662547226,0.059708344,0.018890576,0.016171745,0.242682109,0.901427306,23.05,10729.5,11650,219,2128,661,460,705.5,751.5,1093,2316.5,1259,2056.5,0.21450467,0.066717155,0.458220635,0.260557539,77804.0,1570.5,0.908770687,0.045614657,0.022453116,0.02316154,0.110188866
Tennessee,Nashville,Salemtown,20410.0,0.447378736,0.552621264,0.052425282,0.026065654,0.03610975,0.126016659,0.10377266,0.272905439,0.098530132,0.100489956,0.033806957,0.046496815,0.07466928,0.019010289,0.009701127,30.2,0.357537329,0.630445899,0.001431786,0.009817959,0.000767028,0.661667866,0.635892116,0.109015466,0.078178046,0.045926066,0.130988306,0.880989711,21.5,8670,10100,189,3029,1119,440,724,483,809,1066,502,1739,0.289060821,0.037180314,0.383838384,0.289920481,59050.0,1308.0,0.955861803,0.022069098,0.008914374,0.013154725,0.151788339
Tennessee,Nashville,Scottsboro,17109.5,0.491335223,0.508664777,0.057102779,0.054589556,0.068353839,0.059119203,0.034425319,0.13963003,0.143312195,0.117653935,0.072474356,0.076185745,0.111633888,0.053771297,0.011747859,40.75,0.657566157,0.335631755,0,0.006802087,0,0.575379571,0.802126484,0.090789837,0.00731842,0.005523336,0.094241922,0.866156229,29.25,6646,7260,91,761,808,1098.5,1052.5,1453.5,969,487,251,288.5,0.577960704,0.088145166,0.220272787,0.113621342,63042.0,1075.5,0.938540107,0.030729946,0.012268498,0.018461448,0.16429469
Tennessee,Nashville,Sheffield On The Harpeth,43400.0,0.48124424,0.51875576,0.063479263,0.055875576,0.063156682,0.044493088,0.05343318,0.141912442,0.135506912,0.137995392,0.069723502,0.059331797,0.104009217,0.05156682,0.019516129,40,0.87936617,0.086612049,0.000490581,0.033531201,0,0.718875955,0.756412378,0.072480556,0.003392355,0.004840311,0.1628744,0.947281106,26,18787,20087,412,2080,3211,4501,4264,3683,1317,235,151,233,0.174376067,0.085399561,0.428013983,0.312210389,96623.0,1543.0,0.838420717,0.080789641,0.045446827,0.035342815,0.085023041
Tennessee,Nashville,Shelby Hills,29389.0,0.503555752,0.496444248,0.073598966,0.067576304,0.048861819,0.046479976,0.041137841,0.275545272,0.177073055,0.114192385,0.048215319,0.031678519,0.041478104,0.028752254,0.005410187,33.3,0.684611754,0.292627146,0.001161651,0.019385051,0.002214397,0.782389514,0.640567092,0.057826931,0.023707277,0.02364845,0.25425025,0.897342543,22.5,12862,13913,364,3036,956,619,632,926,1202,1794,1411,2973,0.211657003,0.050717119,0.446078731,0.291547147,80915.0,1628.0,0.907154915,0.046422543,0.022010129,0.024412414,0.106468407
Tennessee,Nashville,Shepherd Hills,41926.0,0.492272098,0.507727902,0.061584697,0.063731336,0.06656967,0.053594428,0.071363832,0.153270047,0.135929972,0.120998903,0.060201307,0.070338215,0.092281639,0.036802939,0.013333015,37.2,0.527642922,0.448642128,0.003677877,0.020037073,0,0.681060181,0.758835265,0.114573437,0.030875926,0.017290519,0.078424853,0.803010065,26.9,17954,19302,134,680,1849,2530,2947,3343,3394,2807,983,635,0.530289532,0.094042316,0.2422049,0.133463252,55313.0,1155.0,0.767661311,0.116169345,0.02365468,0.092514665,0.121332825
Tennessee,Nashville,South Hampton,43400.0,0.48124424,0.51875576,0.063479263,0.055875576,0.063156682,0.044493088,0.05343318,0.141912442,0.135506912,0.137995392,0.069723502,0.059331797,0.104009217,0.05156682,0.019516129,40,0.87936617,0.086612049,0.000490581,0.033531201,0,0.718875955,0.756412378,0.072480556,0.003392355,0.004840311,0.1628744,0.947281106,26,18787,20087,412,2080,3211,4501,4264,3683,1317,235,151,233,0.174376067,0.085399561,0.428013983,0.312210389,96623.0,1543.0,0.838420717,0.080789641,0.045446827,0.035342815,0.085023041
Tennessee,Nashville,South Harpeth Area,43400.0,0.48124424,0.51875576,0.063479263,0.055875576,0.063156682,0.044493088,0.05343318,0.141912442,0.135506912,0.137995392,0.069723502,0.059331797,0.104009217,0.05156682,0.019516129,40,0.87936617,0.086612049,0.000490581,0.033531201,0,0.718875955,0.756412378,0.072480556,0.003392355,0.004840311,0.1628744,0.947281106,26,18787,20087,412,2080,3211,4501,4264,3683,1317,235,151,233,0.174376067,0.085399561,0.428013983,0.312210389,96623.0,1543.0,0.838420717,0.080789641,0.045446827,0.035342815,0.085023041
Tennessee,Nashville,Southeast,66207.0,0.504141053,0.495858947,0.05429436,0.059983587,0.066005105,0.078672447,0.062682194,0.137543361,0.124916298,0.143600123,0.07253513,0.059359282,0.088716702,0.04185358,0.009837832,39.73333333,0.832348609,0.095189395,0.001295056,0.070716727,0.000450213,0.678023254,0.725456819,0.073773803,0.002942874,0.008463166,0.189363339,0.899587657,25.56666667,25183.66667,26850.33333,140.6666667,3105.333333,5305.666667,4518,5001.666667,4182,2635.333333,1284.333333,343.6666667,333.6666667,0.163681169,0.054000317,0.467333775,0.314984738,120661.33333333300,1799.3333333333300,0.735057426,0.132471287,0.05746093,0.075010357,0.075213598
Tennessee,Nashville,Southside,16509.0,0.486583076,0.513416924,0.066266885,0.062874796,0.037615846,0.048458417,0.120540311,0.220606942,0.121388334,0.110242898,0.061421043,0.033557454,0.07620086,0.028651039,0.012175177,31.6,0.54837823,0.396646509,0.001236943,0.051470588,0.00226773,0.651352137,0.704875962,0.073567151,0.053281193,0.029084688,0.139191006,0.782603428,20.9,7344,8519,201,1625,469,485,490,1340,1389,1330,471,719,0.459583053,0.056624075,0.333154001,0.15063887,41736.0,1117.0,0.739176968,0.130411516,0.050730454,0.079681062,0.152341147
